"","V1"
"278",8
"279",1
"280",9
"281",3
"282",9
"283",9
"284",9
"285",11
"286",11
"287",9
"288",4
"289",4
"290",4
"291",10
"292",6
"293",9
"294",2
"295",3
"296",4
"297",2
"298",6
"299",4
"300",9
"301",4
"302",2
"303",6
"304",2
"305",2
"306",2
"307",2
"308",10
"309",2
"310",10
"311",9
"312",5
"313",10
"314",2
"315",2
"316",10
"317",7
"318",2
"319",3
"320",2
"321",2
"322",2
"323",1
"324",2
"325",2
"326",2
"327",2
"328",2
"329",2
"330",8
"331",2
"332",2
"333",2
"334",1
"335",2
"336",9
"337",3
"338",1
"339",2
"340",2
"341",10
"342",2
"343",2
"344",3
"345",1
"346",5
"347",3
"348",2
"349",2
"350",1
"351",3
"352",9
"353",3
"354",3
"355",7
"356",6
"357",2
"358",6
"359",10
"360",3
"361",3
"362",4
"363",3
"364",3
"365",3
"366",7
"367",7
"368",9
"369",11
"370",6
"371",3
"372",8
"373",9
"374",3
"375",3
"376",11
"377",9
"378",5
"379",3
"380",3
"381",4
"382",9
"383",3
"384",10
"385",2
"386",7
"387",9
"388",3
"389",3
"390",11
"391",2
"392",7
"393",4
"394",2
"395",3
"396",3
"397",3
"398",9
"399",8
"400",11
"401",3
"402",7
"403",9
"404",11
"405",9
"406",6
"407",10
"408",9
"409",11
"410",3
"411",3
"412",3
"413",7
"414",11
"415",6
"416",6
"417",8
"418",10
"419",3
"420",11
"421",8
"422",6
"423",11
"424",7
"425",6
"426",3
"427",4
"428",6
"429",9
"430",2
"431",11
"432",11
"433",7
"434",5
"435",9
"436",9
"437",6
"438",10
"439",4
"440",2
"441",9
"442",10
"443",6
"444",5
"445",9
"446",4
"447",9
"448",9
"449",6
"450",3
"451",11
"452",11
"453",10
"454",11
"455",3
"456",8
"457",6
"458",4
"459",2
"460",3
"461",6
"462",3
"463",6
"464",3
"465",3
"466",6
"467",5
"468",11
"469",3
"470",4
"471",9
"472",11
"473",9
"474",7
"475",7
"476",3
"477",9
"478",6
"479",7
"480",3
"481",3
"482",6
"483",9
"484",9
"485",6
"486",9
"487",3
"488",6
"489",3
"490",8
"491",3
"492",4
"493",11
"494",3
"495",11
"496",4
"497",9
"498",8
"499",10
"500",1
"501",11
"502",8
"503",1
"504",9
"505",9
"506",9
"507",11
"508",7
"509",3
"510",3
"511",6
"512",8
"513",3
"514",10
"515",5
"516",4
"517",4
"518",8
"519",11
"520",11
"521",9
"522",4
"523",5
"524",11
"525",11
"526",8
"527",11
"528",4
"529",5
"530",5
"531",7
"532",1
"533",4
"534",8
"535",9
"536",8
"537",6
"538",3
"539",9
"540",4
"541",3
"542",8
"543",11
"544",9
"545",3
"546",11
"547",8
"548",9
"549",4
"550",3
"551",8
"552",9
"553",8
"554",11
"555",11
"556",9
"557",8
"558",4
"559",6
"560",11
"561",5
"562",4
"563",10
"564",6
"565",6
"566",8
"567",6
"568",8
"569",9
"570",7
"571",11
"572",3
"573",4
"574",4
"575",3
"576",11
"577",3
"578",4
"579",8
"580",6
"581",9
"582",4
"583",5
"584",3
"585",1
"586",3
"587",3
"588",8
"589",3
"590",6
"591",3
"592",3
"593",10
"594",8
"595",9
"596",11
"597",4
"598",3
"599",11
"600",3
"601",7
"602",9
"603",11
"604",6
"605",6
"606",3
"607",11
"608",3
"609",6
"610",4
"611",6
"612",3
"613",3
"614",3
"615",4
"616",6
"617",11
"618",3
"619",4
"620",9
"621",7
"622",9
"623",4
"624",11
"625",6
"626",7
"627",9
"628",5
"629",1
"630",5
"631",3
"632",1
"633",3
"634",2
"635",1
"636",1
"637",1
"638",4
"639",8
"640",4
"641",4
"642",4
"643",1
"644",8
"645",8
"646",5
"647",11
"648",9
"649",1
"650",6
"651",4
"652",1
"653",10
"654",8
"655",8
"656",3
"657",4
"658",4
"659",3
"660",4
"661",5
"662",1
"663",1
"664",8
"665",8
"666",1
"667",4
"668",1
"669",4
"670",1
"671",4
"672",11
"673",1
"674",4
"675",1
"676",4
"677",11
"678",4
"679",4
"680",4
"681",4
"682",11
"683",3
"684",4
"685",1
"686",1
"687",1
"688",4
"689",8
"690",4
"691",3
"692",4
"693",8
"694",4
"695",8
"696",8
"697",8
"698",8
"699",1
"700",6
"701",4
"702",4
"703",3
"704",4
"705",4
"706",3
"707",6
"708",1
"709",4
"710",4
"711",4
"712",1
"713",8
"714",3
"715",8
"716",2
"717",4
"718",4
"719",5
"720",5
"721",8
"722",8
"723",2
"724",6
"725",1
"726",1
"727",8
"728",3
"729",3
"730",4
"731",3
"732",3
"733",1
"734",2
"735",5
"736",5
"737",9
"738",6
"739",11
"740",5
"741",6
"742",11
"743",1
"744",6
"745",5
"746",5
"747",6
"748",5
"749",11
"750",5
"751",5
"752",5
"753",10
"754",10
"755",7
"756",3
"757",2
"758",10
"759",10
"760",11
"761",3
"762",11
"763",3
"764",7
"765",9
"766",10
"767",6
"768",10
"769",2
"770",6
"771",6
"772",11
"773",5
"774",10
"775",6
"776",9
"777",8
"778",6
"779",6
"780",7
"781",9
"782",6
"783",8
"784",11
"785",11
"786",4
"787",3
"788",11
"789",9
"790",7
"791",4
"792",10
"793",8
"794",9
"795",3
"796",11
"797",5
"798",10
"799",11
"800",4
"801",3
"802",5
"803",3
"804",3
"805",8
"806",6
"807",10
"808",9
"809",8
"810",8
"811",10
"812",11
"813",6
"814",8
"815",9
"816",5
"817",8
"818",8
"819",4
"820",7
"821",7
"822",1
"823",5
"824",6
"825",6
"826",4
"827",6
"828",11
"829",8
"830",4
"831",6
"832",4
"833",7
"834",9
"835",10
"836",4
"837",8
"838",9
"839",4
"840",9
"841",3
"842",5
"843",9
"844",5
"845",5
"846",8
"847",3
"848",4
"849",8
"850",9
"851",8
"852",4
"853",8
"854",4
"855",3
"856",10
"857",8
"858",4
"859",5
"860",10
"861",11
"862",3
"863",4
"864",6
"865",3
"866",11
"867",9
"868",4
"869",4
"870",8
"871",4
"872",7
"873",5
"874",3
"875",3
"876",3
"877",5
"878",6
"879",8
"880",9
"881",9
"882",4
"883",5
"884",6
"885",5
"886",11
"887",5
"888",4
"889",5
"890",8
"891",8
"892",3
"893",10
"894",4
"895",10
"896",7
"897",9
"898",8
"899",8
"900",4
"901",11
"902",7
"903",8
"904",3
"905",9
"906",4
"907",11
"908",4
"909",5
"910",4
"911",3
"912",4
"913",9
"914",8
"915",4
"916",8
"917",11
"918",11
"919",10
"920",6
"921",8
"922",8
"923",11
"924",5
"925",6
"926",10
"927",3
"928",9
"929",11
"930",6
"931",5
"932",11
"933",11
"934",4
"935",5
"936",2
"937",4
"938",5
"939",10
"940",5
"941",5
"942",3
"943",2
"944",4
"945",11
"946",2
"947",5
"948",8
"949",3
"950",2
"951",7
"952",5
"953",7
"954",6
"955",8
"956",2
"957",2
"958",6
"959",2
"960",2
"961",2
"962",9
"963",3
"964",9
"965",1
"966",6
"967",6
"968",3
"969",10
"970",4
"971",5
"972",4
"973",10
"974",9
"975",9
"976",6
"977",5
"978",4
"979",11
"980",7
"981",2
"982",9
"983",4
"984",7
"985",7
"986",7
"987",2
"988",9
"989",10
"990",9
"991",6
"992",4
"993",3
"994",5
"995",5
"996",8
"997",6
"998",9
"999",9
"1000",7
"1001",9
"1002",2
"1003",2
"1004",5
"1005",1
"1006",2
"1007",2
"1008",2
"1009",2
"1010",2
"1011",2
"1012",2
"1013",7
"1014",2
"1015",2
"1016",2
"1017",2
"1018",7
"1019",2
"1020",7
"1021",2
"1022",2
"1023",7
"1024",2
"1025",7
"1026",2
"1027",2
"1028",2
"1029",2
"1030",7
"1031",2
"1032",2
"1033",2
"1034",2
"1035",2
"1036",2
"1037",2
"1038",2
"1039",2
"1040",7
"1041",2
"1042",2
"1043",7
"1044",2
"1045",2
"1046",2
"1047",2
"1048",2
"1049",7
"1050",7
"1051",2
"1052",7
"1053",2
"1054",7
"1055",7
"1056",9
"1057",1
"1058",1
"1059",2
"1060",2
"1061",2
"1062",2
"1063",2
"1064",2
"1065",2
"1066",2
"1067",2
"1068",2
"1069",2
"1070",2
"1071",2
"1072",2
"1073",2
"1074",2
"1075",2
"1076",1
"1077",1
"1078",1
"1079",1
"1080",1
"1081",1
"1082",1
"1083",1
"1084",1
"1085",1
"1086",2
"1087",7
"1088",7
"1089",2
"1090",2
"1091",7
"1092",7
"1093",2
"1094",2
"1095",2
"1096",2
"1097",2
"1098",2
"1099",2
"1100",7
"1101",7
"1102",7
"1103",7
"1104",7
"1105",2
"1106",7
"1107",2
"1108",7
"1109",2
"1110",2
"1111",7
"1112",7
"1113",1
"1114",5
"1115",9
"1116",10
"1117",5
"1118",11
"1119",7
"1120",5
"1121",4
"1122",10
"1123",1
"1124",4
"1125",1
"1126",5
"1127",1
"1128",5
"1129",1
"1130",5
"1131",4
"1132",4
"1133",4
"1134",5
"1135",2
"1136",8
"1137",5
"1138",5
"1139",5
"1140",10
"1141",10
"1142",5
"1143",4
"1144",8
"1145",8
"1146",6
"1147",5
"1148",5
"1149",10
"1150",1
"1151",10
"1152",10
"1153",5
"1154",8
"1155",5
"1156",8
"1157",10
"1158",5
"1159",6
"1160",8
"1161",8
"1162",10
"1163",10
"1164",5
"1165",5
"1166",10
"1167",10
"1168",2
"1169",5
"1170",10
"1171",5
"1172",1
"1173",5
"1174",1
"1175",8
"1176",1
"1177",8
"1178",5
"1179",5
"1180",4
"1181",10
"1182",4
"1183",10
"1184",7
"1185",2
"1186",10
"1187",10
"1188",5
"1189",1
"1190",8
"1191",4
"1192",5
"1193",1
"1194",5
"1195",10
"1196",7
"1197",5
"1198",4
"1199",5
"1200",4
"1201",2
"1202",1
"1203",5
"1204",10
"1205",10
"1206",1
"1207",11
"1208",10
"1209",5
"1210",5
"1211",4
"1212",2
"1213",4
"1214",10
"1215",10
"1216",10
"1217",2
"1218",4
"1219",8
"1220",5
"1221",2
"1222",6
"1223",8
"1224",10
"1225",5
"1226",10
"1227",5
"1228",5
"1229",4
"1230",1
"1231",8
"1232",5
"1233",2
"1234",1
"1235",10
"1236",7
"1237",4
"1238",10
"1239",10
"1240",2
"1241",10
"1242",8
"1243",1
"1244",5
"1245",10
"1246",2
"1247",8
"1248",5
"1249",1
"1250",5
"1251",4
"1252",4
"1253",10
"1254",4
"1255",4
"1256",6
"1257",5
"1258",4
"1259",5
"1260",9
"1261",8
"1262",10
"1263",3
"1264",7
"1265",4
"1266",4
"1267",2
"1268",1
"1269",8
"1270",8
"1271",2
"1272",1
"1273",8
"1274",5
"1275",1
"1276",5
"1277",10
"1278",1
"1279",1
"1280",5
"1281",10
"1282",10
"1283",1
"1284",5
"1285",4
"1286",8
"1287",1
"1288",8
"1289",5
"1290",9
"1291",2
"1292",1
"1293",4
"1294",8
"1295",10
"1296",2
"1297",9
"1298",8
"1299",10
"1300",5
"1301",5
"1302",8
"1303",5
"1304",1
"1305",4
"1306",5
"1307",5
"1308",2
"1309",4
"1310",3
"1311",1
"1312",10
"1313",9
"1314",8
"1315",11
"1316",10
"1317",5
"1318",4
"1319",10
"1320",1
"1321",5
"1322",2
"1323",8
"1324",5
"1325",6
"1326",10
"1327",10
"1328",5
"1329",5
"1330",10
"1331",5
"1332",5
"1333",4
"1334",8
"1335",8
"1336",9
"1337",1
"1338",11
"1339",10
"1340",5
"1341",6
"1342",5
"1343",5
"1344",4
"1345",1
"1346",4
"1347",5
"1348",8
"1349",10
"1350",7
"1351",11
"1352",6
"1353",11
"1354",3
"1355",5
"1356",2
"1357",7
"1358",2
"1359",6
"1360",2
"1361",6
"1362",11
"1363",9
"1364",3
"1365",2
"1366",2
"1367",2
"1368",2
"1369",7
"1370",9
"1371",2
"1372",2
"1373",6
"1374",3
"1375",5
"1376",2
"1377",8
"1378",2
"1379",2
"1380",2
"1381",10
"1382",10
"1383",7
"1384",2
"1385",8
"1386",9
"1387",10
"1388",9
"1389",2
"1390",10
"1391",9
"1392",4
"1393",2
"1394",7
"1395",4
"1396",3
"1397",10
"1398",9
"1399",10
"1400",2
"1401",3
"1402",2
"1403",2
"1404",1
"1405",4
"1406",6
"1407",5
"1408",7
"1409",6
"1410",2
"1411",2
"1412",4
"1413",8
"1414",6
"1415",6
"1416",4
"1417",5
"1418",2
"1419",2
"1420",1
"1421",2
"1422",10
"1423",11
"1424",2
"1425",11
"1426",1
"1427",2
"1428",6
"1429",2
"1430",2
"1431",6
"1432",7
"1433",2
"1434",4
"1435",9
"1436",1
"1437",3
"1438",8
"1439",3
"1440",6
"1441",2
"1442",11
"1443",6
"1444",6
"1445",2
"1446",10
"1447",4
"1448",2
"1449",9
"1450",5
"1451",2
"1452",2
"1453",10
"1454",6
"1455",4
"1456",6
"1457",6
"1458",2
"1459",11
"1460",1
"1461",9
"1462",2
"1463",7
"1464",11
"1465",10
"1466",10
"1467",2
"1468",10
"1469",2
"1470",9
"1471",9
"1472",5
"1473",6
"1474",4
"1475",9
"1476",8
"1477",10
"1478",2
"1479",2
"1480",6
"1481",2
"1482",2
"1483",4
"1484",6
"1485",4
"1486",3
"1487",4
"1488",8
"1489",2
"1490",8
"1491",10
"1492",7
"1493",2
"1494",2
"1495",2
"1496",10
"1497",2
"1498",2
"1499",2
"1500",9
"1501",2
"1502",10
"1503",11
"1504",3
"1505",11
"1506",6
"1507",3
"1508",9
"1509",6
"1510",2
"1511",3
"1512",10
"1513",3
"1514",10
"1515",3
"1516",3
"1517",3
"1518",3
"1519",10
"1520",7
"1521",3
"1522",6
"1523",3
"1524",10
"1525",2
"1526",3
"1527",2
"1528",10
"1529",6
"1530",7
"1531",6
"1532",5
"1533",6
"1534",6
"1535",10
"1536",4
"1537",4
"1538",4
"1539",4
"1540",5
"1541",11
"1542",4
"1543",4
"1544",5
"1545",1
"1546",3
"1547",3
"1548",4
"1549",11
"1550",7
"1551",6
"1552",4
"1553",3
"1554",5
"1555",5
"1556",9
"1557",8
"1558",1
"1559",2
"1560",4
"1561",10
"1562",9
"1563",4
"1564",5
"1565",9
"1566",4
"1567",3
"1568",4
"1569",11
"1570",4
"1571",11
"1572",9
"1573",3
"1574",5
"1575",10
"1576",3
"1577",10
"1578",1
"1579",8
"1580",4
"1581",8
"1582",4
"1583",5
"1584",6
"1585",6
"1586",2
"1587",9
"1588",11
"1589",1
"1590",4
"1591",8
"1592",6
"1593",4
"1594",9
"1595",5
"1596",4
"1597",7
"1598",7
"1599",8
"1600",9
"1601",4
"1602",8
"1603",6
"1604",7
"1605",9
"1606",9
"1607",7
"1608",3
"1609",3
"1610",4
"1611",4
"1612",4
"1613",3
"1614",3
"1615",6
"1616",6
"1617",7
"1618",11
"1619",2
"1620",2
"1621",6
"1622",9
"1623",3
"1624",11
"1625",3
"1626",6
"1627",9
"1628",5
"1629",7
"1630",9
"1631",1
"1632",2
"1633",9
"1634",9
"1635",11
"1636",6
"1637",8
"1638",8
"1639",9
"1640",6
"1641",9
"1642",8
"1643",9
"1644",6
"1645",4
"1646",6
"1647",4
"1648",9
"1649",4
"1650",11
"1651",3
"1652",4
"1653",9
"1654",9
"1655",3
"1656",7
"1657",2
"1658",6
"1659",9
"1660",4
"1661",3
"1662",3
"1663",6
"1664",9
"1665",9
"1666",11
"1667",3
"1668",3
"1669",7
"1670",9
"1671",7
"1672",7
"1673",10
"1674",2
"1675",9
"1676",3
"1677",5
"1678",11
"1679",5
"1680",7
"1681",9
"1682",5
"1683",5
"1684",11
"1685",11
"1686",11
"1687",9
"1688",9
"1689",3
"1690",3
"1691",6
"1692",5
"1693",2
"1694",4
"1695",3
"1696",7
"1697",7
"1698",4
"1699",7
"1700",9
"1701",4
"1702",4
"1703",7
"1704",10
"1705",1
"1706",8
"1707",5
"1708",11
"1709",3
"1710",5
"1711",3
"1712",8
"1713",9
"1714",7
"1715",4
"1716",1
"1717",5
"1718",4
"1719",4
"1720",8
"1721",2
"1722",4
"1723",3
"1724",2
"1725",8
"1726",4
"1727",2
"1728",3
"1729",7
"1730",2
"1731",7
"1732",5
"1733",7
"1734",7
"1735",9
"1736",2
"1737",4
"1738",11
"1739",7
"1740",7
"1741",2
"1742",7
"1743",7
"1744",3
"1745",8
"1746",3
"1747",6
"1748",9
"1749",2
"1750",7
"1751",2
"1752",10
"1753",7
"1754",7
"1755",9
"1756",2
"1757",2
"1758",1
"1759",9
"1760",10
"1761",2
"1762",2
"1763",2
"1764",2
"1765",2
"1766",2
"1767",2
"1768",2
"1769",2
"1770",2
"1771",2
"1772",2
"1773",2
"1774",2
"1775",2
"1776",2
"1777",2
"1778",10
"1779",1
"1780",2
"1781",10
"1782",2
"1783",2
"1784",2
"1785",9
"1786",2
"1787",1
"1788",2
"1789",10
"1790",10
"1791",1
"1792",10
"1793",1
"1794",2
"1795",10
"1796",4
"1797",1
"1798",2
"1799",4
"1800",2
"1801",2
"1802",1
"1803",3
"1804",6
"1805",7
"1806",8
"1807",3
"1808",10
"1809",6
"1810",7
"1811",5
"1812",1
"1813",2
"1814",2
"1815",5
"1816",10
"1817",2
"1818",1
"1819",3
"1820",1
"1821",2
"1822",2
"1823",9
"1824",2
"1825",2
"1826",5
"1827",2
"1828",10
"1829",4
"1830",3
"1831",2
"1832",10
"1833",2
"1834",5
"1835",2
"1836",2
"1837",2
"1838",2
"1839",9
"1840",6
"1841",2
"1842",7
"1843",7
"1844",2
"1845",1
"1846",3
"1847",5
"1848",3
"1849",5
"1850",2
"1851",2
"1852",6
"1853",2
"1854",10
"1855",2
"1856",3
"1857",1
"1858",10
"1859",8
"1860",2
"1861",1
"1862",2
"1863",5
"1864",7
"1865",2
"1866",2
"1867",9
"1868",1
"1869",1
"1870",8
"1871",1
"1872",9
"1873",5
"1874",2
"1875",2
"1876",5
"1877",3
"1878",2
"1879",4
"1880",2
"1881",2
"1882",1
"1883",2
"1884",10
"1885",1
"1886",5
"1887",4
"1888",2
"1889",2
"1890",1
"1891",3
"1892",8
"1893",10
"1894",2
"1895",2
"1896",3
"1897",1
"1898",4
"1899",1
"1900",2
"1901",2
"1902",2
"1903",1
"1904",11
"1905",11
"1906",9
"1907",6
"1908",9
"1909",7
"1910",8
"1911",7
"1912",6
"1913",6
"1914",8
"1915",4
"1916",5
"1917",3
"1918",11
"1919",3
"1920",6
"1921",9
"1922",11
"1923",7
"1924",2
"1925",11
"1926",3
"1927",4
"1928",2
"1929",11
"1930",11
"1931",6
"1932",9
"1933",11
"1934",2
"1935",8
"1936",5
"1937",2
"1938",3
"1939",11
"1940",10
"1941",5
"1942",11
"1943",6
"1944",10
"1945",11
"1946",6
"1947",2
"1948",10
"1949",2
"1950",3
"1951",10
"1952",3
"1953",3
"1954",6
"1955",2
"1956",10
"1957",2
"1958",2
"1959",6
"1960",3
"1961",11
"1962",2
"1963",2
"1964",9
"1965",2
"1966",2
"1967",2
"1968",2
"1969",2
"1970",2
"1971",3
"1972",2
"1973",10
"1974",6
"1975",2
"1976",9
"1977",11
"1978",1
"1979",10
"1980",9
"1981",11
"1982",10
"1983",2
"1984",2
"1985",11
"1986",10
"1987",2
"1988",10
"1989",2
"1990",9
"1991",10
"1992",6
"1993",10
"1994",10
"1995",6
"1996",2
"1997",10
"1998",2
"1999",5
"2000",4
"2001",5
"2002",8
"2003",5
"2004",10
"2005",5
"2006",2
"2007",5
"2008",3
"2009",8
"2010",5
"2011",5
"2012",5
"2013",3
"2014",5
"2015",3
"2016",5
"2017",8
"2018",4
"2019",4
"2020",4
"2021",2
"2022",3
"2023",5
"2024",5
"2025",10
"2026",5
"2027",8
"2028",8
"2029",10
"2030",3
"2031",4
"2032",7
"2033",4
"2034",5
"2035",3
"2036",4
"2037",5
"2038",5
"2039",5
"2040",4
"2041",2
"2042",11
"2043",5
"2044",5
"2045",5
"2046",2
"2047",5
"2048",2
"2049",5
"2050",11
"2051",3
"2052",2
"2053",8
"2054",4
"2055",3
"2056",8
"2057",5
"2058",10
"2059",5
"2060",2
"2061",5
"2062",4
"2063",8
"2064",10
"2065",5
"2066",3
"2067",8
"2068",5
"2069",3
"2070",5
"2071",2
"2072",5
"2073",2
"2074",5
"2075",6
"2076",4
"2077",5
"2078",2
"2079",4
"2080",2
"2081",5
"2082",2
"2083",5
"2084",10
"2085",2
"2086",5
"2087",6
"2088",4
"2089",2
"2090",5
"2091",4
"2092",1
"2093",7
"2094",2
"2095",2
"2096",8
"2097",5
"2098",4
"2099",5
"2100",4
"2101",7
"2102",2
"2103",5
"2104",4
"2105",5
"2106",2
"2107",5
"2108",1
"2109",4
"2110",2
"2111",8
"2112",1
"2113",2
"2114",2
"2115",5
"2116",6
"2117",4
"2118",5
"2119",5
"2120",5
"2121",11
"2122",2
"2123",4
"2124",4
"2125",7
"2126",5
"2127",5
"2128",5
"2129",5
"2130",4
"2131",4
"2132",7
"2133",10
"2134",2
"2135",5
"2136",10
"2137",5
"2138",8
"2139",10
"2140",2
"2141",1
"2142",5
"2143",5
"2144",5
"2145",4
"2146",1
"2147",5
"2148",5
"2149",7
"2150",10
"2151",10
"2152",3
"2153",3
"2154",11
"2155",1
"2156",5
"2157",7
"2158",11
"2159",10
"2160",3
"2161",6
"2162",9
"2163",11
"2164",8
"2165",8
"2166",10
"2167",10
"2168",7
"2169",8
"2170",4
"2171",3
"2172",6
"2173",8
"2174",4
"2175",3
"2176",7
"2177",7
"2178",7
"2179",11
"2180",7
"2181",3
"2182",2
"2183",4
"2184",8
"2185",5
"2186",9
"2187",11
"2188",8
"2189",8
"2190",8
"2191",7
"2192",3
"2193",4
"2194",9
"2195",1
"2196",3
"2197",7
"2198",9
"2199",4
"2200",6
"2201",1
"2202",4
"2203",11
"2204",10
"2205",4
"2206",10
"2207",4
"2208",1
"2209",10
"2210",11
"2211",4
"2212",1
"2213",1
"2214",6
"2215",10
"2216",3
"2217",8
"2218",1
"2219",1
"2220",8
"2221",2
"2222",10
"2223",9
"2224",4
"2225",9
"2226",3
"2227",2
"2228",1
"2229",9
"2230",1
"2231",3
"2232",6
"2233",1
"2234",10
"2235",7
"2236",2
"2237",10
"2238",10
"2239",7
"2240",1
"2241",3
"2242",4
"2243",10
"2244",3
"2245",11
"2246",5
"2247",3
"2248",1
"2249",6
"2250",5
"2251",5
"2252",2
"2253",6
"2254",9
"2255",10
"2256",10
"2257",9
"2258",9
"2259",1
"2260",3
"2261",3
"2262",3
"2263",8
"2264",9
"2265",3
"2266",11
"2267",3
"2268",3
"2269",9
"2270",2
"2271",4
"2272",7
"2273",5
"2274",5
"2275",7
"2276",5
"2277",5
"2278",5
"2279",5
"2280",4
"2281",1
"2282",5
"2283",1
"2284",11
"2285",1
"2286",1
"2287",1
"2288",1
"2289",4
"2290",5
"2291",8
"2292",5
"2293",1
"2294",10
"2295",5
"2296",10
"2297",5
"2298",8
"2299",2
"2300",1
"2301",8
"2302",5
"2303",5
"2304",1
"2305",10
"2306",5
"2307",4
"2308",5
"2309",4
"2310",1
"2311",8
"2312",5
"2313",5
"2314",5
"2315",5
"2316",2
"2317",5
"2318",1
"2319",1
"2320",5
"2321",5
"2322",5
"2323",1
"2324",1
"2325",4
"2326",5
"2327",1
"2328",8
"2329",5
"2330",1
"2331",5
"2332",1
"2333",2
"2334",5
"2335",5
"2336",5
"2337",8
"2338",5
"2339",5
"2340",5
"2341",5
"2342",5
"2343",5
"2344",5
"2345",5
"2346",5
"2347",5
"2348",5
"2349",4
"2350",5
"2351",5
"2352",5
"2353",5
"2354",5
"2355",3
"2356",6
"2357",6
"2358",1
"2359",10
"2360",3
"2361",9
"2362",7
"2363",7
"2364",7
"2365",10
"2366",9
"2367",11
"2368",11
"2369",3
"2370",4
"2371",10
"2372",8
"2373",5
"2374",11
"2375",6
"2376",9
"2377",3
"2378",8
"2379",3
"2380",11
"2381",3
"2382",8
"2383",11
"2384",7
"2385",7
"2386",4
"2387",10
"2388",9
"2389",6
"2390",3
"2391",4
"2392",4
"2393",6
"2394",3
"2395",10
"2396",11
"2397",4
"2398",9
"2399",11
"2400",3
"2401",3
"2402",9
"2403",8
"2404",10
"2405",11
"2406",3
"2407",3
"2408",6
"2409",9
"2410",10
"2411",4
"2412",10
"2413",9
"2414",4
"2415",3
"2416",10
"2417",11
"2418",9
"2419",3
"2420",6
"2421",3
"2422",6
"2423",10
"2424",4
"2425",6
"2426",6
"2427",6
"2428",3
"2429",2
"2430",3
"2431",3
"2432",1
"2433",8
"2434",8
"2435",4
"2436",11
"2437",8
"2438",6
"2439",4
"2440",7
"2441",4
"2442",6
"2443",9
"2444",8
"2445",10
"2446",6
"2447",3
"2448",3
"2449",6
"2450",2
"2451",6
"2452",1
"2453",5
"2454",4
"2455",6
"2456",4
"2457",11
"2458",3
"2459",1
"2460",6
"2461",10
"2462",9
"2463",4
"2464",9
"2465",3
"2466",5
"2467",3
"2468",6
"2469",3
"2470",4
"2471",10
"2472",2
"2473",11
"2474",3
"2475",6
"2476",11
"2477",3
"2478",2
"2479",11
"2480",7
"2481",8
"2482",9
"2483",5
"2484",6
"2485",6
"2486",6
"2487",6
"2488",6
"2489",6
"2490",10
"2491",6
"2492",2
"2493",2
"2494",6
"2495",6
"2496",6
"2497",6
